"Name","Status"
"Themes","Running"
"TieringEngineService","Stopped"
"TimeBrokerSvc","Running"
"TokenBroker","Running"
"TPHKLOAD","Running"
"TrkWks","Running"
"TroubleshootingSvc","Stopped"
"TrustedInstaller","Stopped"
"tzautoupdate","Stopped"
"UDCService","Running"
"UdkUserSvc_95a16e","Running"
"UevAgentService","Stopped"
"uhssvc","Stopped"
"UmRdpService","Stopped"
"UnistoreSvc_95a16e","Running"
"upnphost","Stopped"
"UserDataSvc_95a16e","Running"
"UserManager","Running"
"UsoSvc","Running"
"VacSvc","Stopped"
"VaultSvc","Running"
"vds","Stopped"
"VMAuthdService","Running"
"vmicguestinterface","Stopped"
"vmicheartbeat","Stopped"
"vmickvpexchange","Stopped"
"vmicrdv","Stopped"
"vmicshutdown","Stopped"
"vmictimesync","Stopped"
"vmicvmsession","Stopped"
"vmicvss","Stopped"
"VMnetDHCP","Running"
"VMUSBArbService","Running"
"VMware NAT Service","Running"
"VSInstallerElevationService","Stopped"
"VSS","Stopped"
"VSStandardCollectorService150","Stopped"
"W32Time","Stopped"
"WaaSMedicSvc","Running"
"WalletService","Stopped"
"wampapache64","Stopped"
"wampmariadb64","Stopped"
"wampmysqld64","Stopped"
"WarpJITSvc","Stopped"
"wbengine","Stopped"
"WbioSrvc","Stopped"
"Wcmsvc","Running"
"wcncsvc","Stopped"
"WdiServiceHost","Stopped"
"WdiSystemHost","Running"
"WdNisSvc","Stopped"
"WebClient","Stopped"
"webthreatdefsvc","Running"
"webthreatdefusersvc_95a16e","Running"
"Wecsvc","Stopped"
"WEPHOSTSVC","Stopped"
"wercplsupport","Stopped"
"WerSvc","Stopped"
"WFDSConMgrSvc","Stopped"
"WiaRpc","Stopped"
"WinDefend","Stopped"
"WinHttpAutoProxySvc","Running"
"Winmgmt","Running"
"WinRM","Stopped"
"wisvc","Stopped"
"WlanSvc","Running"
"wlidsvc","Running"
"wlpasvc","Stopped"
"WManSvc","Stopped"
"wmiApSrv","Stopped"
"WMPNetworkSvc","Stopped"
"workfolderssvc","Stopped"
"WpcMonSvc","Stopped"
"WPDBusEnum","Stopped"
"WpnService","Running"
"WpnUserService_95a16e","Running"
"wscsvc","Running"
"WSearch","Running"
"wuauserv","Stopped"
"WwanSvc","Stopped"
"XblAuthManager","Stopped"
"XblGameSave","Stopped"
"XboxGipSvc","Stopped"
"XboxNetApiSvc","Stopped"
